Serial	user_id	user_screen_name	user_name	user_expanded_url	Facebook Page (https://www.facebook.com/)	RSS Feed link	Automatic RSS	Wikipedia page (https://en.wikipedia.org/wiki/)	Alexa page (https://www.alexa.com/siteinfo/)	user_display_url	user_verified	newssource	newssource:confidence	user_created_at	user_description	user_followers_count	user_favourites_count	user_friends_count	user_geo_enabled	user_lang	user_listed_count	user_location	country	country_code	Category	user_profile_image_url	user_statuses_count	user_time_zone	user_url	YouTube (http://www.youtube.com/)	GooglePlus (https://plus.google.com/+)	Instagram (https://www.instagram.com/)
31	9300262	politico	POLITICO	http://www.politico.com/	politico	https://www.politico.com/rss	https://www.politico.com/rss	https://en.wikipedia.org/wiki/Politico	https://www.alexa.com/siteinfo/politico.com	politico.com	1			Mon Oct 08 00:29:38 +0000 2007	Nobody knows politics like POLITICO. Got a news tip for us? <LF>👉 https://t.co/fp9nugJuND	3614276	28	1370	1	en	37644	Washington, D.C.	United States of America	US	General	http://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png	279221	None	https://t.co/PPMyQsPlIg	user/thepolitico		politico
32	624413	marketwatch	MarketWatch	http://www.marketwatch.com/	marketwatch	http://www.marketwatch.com/rss	/rss	https://en.wikipedia.org/wiki/MarketWatch	https://www.alexa.com/siteinfo/marketwatch.com	marketwatch.com	1			Thu Jan 11 05:15:48 +0000 2007	News, personal finance & commentary from MarketWatch.	3611840	2631	190	0	en	23363		United States of America	US	Economy	http://pbs.twimg.com/profile_images/705601245596090368/Z6xUOnRg_normal.jpg	229848	None	http://t.co/0HcV671qZB	channel/UCPaSu8qnjJhF1vkXVOGojBQ	marketwatch	
33	2884771	Newsweek	Newsweek	http://www.newsweek.com/	Newsweek			https://en.wikipedia.org/wiki/Newsweek	https://www.alexa.com/siteinfo/newsweek.com	newsweek.com	1			Thu Mar 29 19:51:11 +0000 2007	Stay relevant. News and analysis on politics, science, technology, and culture.	3435697	2801	250	0	en	37550	New York, NY	United States of America	US	General	http://pbs.twimg.com/profile_images/741603495929905152/di0NxkFa_normal.jpg	151992	None	https://t.co/92gD7evE72		NewsweekMag	newsweek
34	18949452	ft	Financial Times	https://www.ft.com/	financialtimes	https://www.ft.com/?format=rss	https://www.ft.com/?format=rss	https://en.wikipedia.org/wiki/Financial_Times	https://www.alexa.com/siteinfo/ft.com	ft.com	1			Tue Jan 13 19:28:24 +0000 2009	Financial Times headlines as they’re published on https://t.co/5BsmLs9y1Z. For a curated feed of our journalism, follow @financialtimes	3281930	40	812	0	en	33099	London	United States of America	US	General	http://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_normal.jpg	203443	None	http://t.co/dnhLQpd9BY	user/FinancialTimesVideos		
35	16664681	latimes	Los Angeles Times	http://www.latimes.com/	latimes	http://www.latimes.com/rss2.0.xml	http://www.latimes.com/rss2.0.xml	https://en.wikipedia.org/wiki/Los_Angeles_Times	https://www.alexa.com/siteinfo/latimes.com	latimes.com	1			Thu Oct 09 11:07:42 +0000 2008	News from Los Angeles and the world. Staffed by http://t.co/zb8HyvYyAJ editors.	3273579	1893	10608	1	en	30769	Los Angeles, CA	United States of America	US	General	http://pbs.twimg.com/profile_images/546329819919560704/XMWy2Z50_normal.jpeg	197756	None	http://t.co/JvbZRDfNzf	user/losangelestimes		latimes
36	1917731	thehill	The Hill	http://thehill.com/	TheHill	http://thehill.com/resources/rss-feeds	/resources/rss-feeds	https://en.wikipedia.org/wiki/The_Hill_(newspaper)	https://www.alexa.com/siteinfo/thehill.com	thehill.com	1			Thu Mar 22 18:15:18 +0000 2007	The Hill is the premier source for policy and political news. Follow for tweets on what's happening in Washington, breaking news and retweets of our reporters.	3107911	26	911	0	en	24275	Washington, DC	United States of America	US	General	http://pbs.twimg.com/profile_images/907330975587336193/tw7JPE5v_normal.jpg	444501	None	http://t.co/t414UtTRv4	channel/UCPWXiRWZ29zrxPFIQT7eHSA	thehill/posts	
37	330826792	rapplerdotcom	Rappler	http://www.rappler.com/	rapplerdotcom			https://en.wikipedia.org/wiki/Rappler	https://www.alexa.com/siteinfo/rappler.com	rappler.com	1			Thu Jul 07 06:34:10 +0000 2011	The Social News Network. Uncompromised journalism that inspires smart conversation and a thirst for change. We have an app for iOS, Android & Windows8!	3048356	7574	408	1	en	3726	Philippines	Philippines	PH	General	http://pbs.twimg.com/profile_images/954590453235675136/NMne0LMy_normal.jpg	494261	None	https://t.co/tz2uMgi2kb	embed/cwwx9799Aqc	Rappler/posts	rappler
38	39743812	economictimes	EconomicTimes	http://economictimes.indiatimes.com/	EconomicTimes	//economictimes.indiatimes.com/rss.cms	//economictimes.indiatimes.com/rss.cms	https://en.wikipedia.org/wiki/The_Economic_Times	https://www.alexa.com/siteinfo/indiatimes.com	facebook.com/EconomicTimes	1			Wed May 13 12:54:58 +0000 2009	The No. 1 Business Daily in India brings you the latest #news updates and LIVE coverage of #politics #economy #markets #technology | A Times Internet Product	3031040	361	40	1	en	7326		India	IN	General	http://pbs.twimg.com/profile_images/813663483786989568/M_vF6Xwy_normal.jpg	336111	None	https://t.co/1azLywp9zh	TheEconomicTimes	TheEconomicTimes/	etpanache
39	20402945	cnbc	CNBC	http://www.cnbc.com/	cnbc			https://en.wikipedia.org/wiki/CNBC	https://www.alexa.com/siteinfo/cnbc.com	cnbc.com	1			Mon Feb 09 00:03:41 +0000 2009	First in business worldwide.	2977821	63	524	1	en	25614	Englewood Cliffs, NJ	United States of America	US	Economy	http://pbs.twimg.com/profile_images/997500309617328129/E2rIo31Y_normal.jpg	213158	None	https://t.co/fdcFKDtOzb	user/CNBCInternational	CNBC	
40	17446621	thr	Hollywood Reporter	http://www.hollywoodreporter.com/	HollywoodReporter	https://www.hollywoodreporter.com/rss	https://www.hollywoodreporter.com/rss	https://en.wikipedia.org/wiki/The_Hollywood_Reporter	https://www.alexa.com/siteinfo/hollywoodreporter.com	hollywoodreporter.com	1			Mon Nov 17 18:10:33 +0000 2008	The Hollywood Reporter is the premier destination & most widely trusted resource for entertainment news, reviews, videos & more.	2892953	761	2782	1	en	20854	Hollywood, CA	United States of America	US	Entertainment	http://pbs.twimg.com/profile_images/528317230367268865/Po8lHinI_normal.jpeg	325984	None	https://t.co/HynB1A3ItS	thrnetwork	hollywoodreporter	
41	38647512	indianexpress	The Indian Express	http://indianexpress.com/	indianexpress		https://indianexpress.com/article/opinion/columns/pranab-mukherjee-rss-meeting-5216346/	https://en.wikipedia.org/wiki/The_Indian_Express	https://www.alexa.com/siteinfo/indianexpress.com	indianexpress.com	1			Fri May 08 11:29:15 +0000 2009	India's most trusted news organisation	2847028	251	604	1	en	4428	India	India	IN	General	http://pbs.twimg.com/profile_images/1850193578/IE_Square_Logo_normal.png	442640	None	https://t.co/ICMfxrHWTV	IndianExpress	indianexpress?rel=author	
42	15448383	inquirerdotnet	Inquirer	https://www.inquirer.net/	inquirerdotnet			https://en.wikipedia.org/wiki/Philippine_Daily_Inquirer	https://www.alexa.com/siteinfo/inquirer.net	inquirer.net	1			Wed Jul 16 00:36:41 +0000 2008	Balanced News, Fearless Views. Updates on and from the Philippines. Smartphone https://t.co/ieH6fpzwvJ Tablet https://t.co/hmKh0Rr0QZ Chat https://t.co/Cvl0FeXobL	2789935	35210	1900	1	en	5716	Makati City	Philippines	PH	General	http://pbs.twimg.com/profile_images/783698839546961920/POMZKG5W_normal.jpg	663184	None	https://t.co/RlrYWVwrXG	user/inquirernews		
43	64643056	RT_com	RT	https://www.rt.com	Rtnews	https://www.rt.com/rss	/rss	https://en.wikipedia.org/wiki/RT_(TV_network)	https://www.alexa.com/siteinfo/rt.com	RT.com	1			Tue Aug 11 06:12:45 +0000 2009	RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.	2702878	857	628	1	en	21467		Russia	RU	General	http://pbs.twimg.com/profile_images/1004318026446135296/jzqv3UeG_normal.jpg	259831	None	http://t.co/bDDyvy9DmR	user/RussiaToday	102728491539958529040/posts	rt
44	6433472	CBCNews	CBC News	http://www.cbc.ca/news	cbcnews	http://www.cbc.ca/rss/	http://www.cbc.ca/rss/	https://en.wikipedia.org/wiki/CBC.ca	https://www.alexa.com/siteinfo/cbc.ca	cbc.ca/news/	1			Wed May 30 05:20:39 +0000 2007	Canadian breaking news and analysis from CBCNews.ca, TV and radio.	2622887	5902	967	1	en	14147	Canada	Canada	CA	General	http://pbs.twimg.com/profile_images/957919598749323264/NuYdCE6a_normal.jpg	198319	None	http://t.co/ZLZObOnET1	user/cbcnews		cbcnews
45	16973333	Independent	The Independent	http://www.independent.co.uk	TheIndependentOnline	http://www.independent.co.uk/rss	http://www.independent.co.uk/rss	https://en.wikipedia.org/wiki/The_Independent	https://www.alexa.com/siteinfo/independent.co.uk	independent.co.uk	1			Sun Oct 26 00:00:29 +0000 2008	News, comment and features from The Independent	2527898	51	1114	0	en	21878	London, England	United Kingdom	GB	General	http://pbs.twimg.com/profile_images/583628771972018176/ztJn926g_normal.png	715296	None	https://t.co/ENon5VCZ03	user/theindependent		
46	2834511	SPIEGELONLINE	SPIEGEL ONLINE	http://www.spiegel.de/international/	spiegelonline	http://www.spiegel.de/schlagzeilen/index.rss	http://www.spiegel.de/schlagzeilen/index.rss	https://en.wikipedia.org/wiki/Spiegel_Online	https://www.alexa.com/siteinfo/spiegel.de	spiegel.de	1			Thu Mar 29 12:54:46 +0000 2007	Die wichtigsten Nachrichten des Tages und die besten Geschichten von SPIEGEL ONLINE • Impressum: https://t.co/vp9WWSDJfv<LF>https://t.co/TrBjhCKjqw	2502488	3267	292	1	de	7655	Hamburg, Germany	Germany	DE	General	http://pbs.twimg.com/profile_images/881743612404518912/ALb4Fxzg_normal.jpg	165482	None	https://t.co/knAYWME0vM	user/spiegeltv	106419678219919655169/posts	
